DEPTH,RHOB,DT,GR,AI,AI_rel,PHIE
84.44,2053.7,522.1865,14.7186,3932886,-774.9875,0.3727
84.59,2053.7,522.179,18.0893,3932942,-774.9875,0.3727
84.74,2053.7,522.1716,17.7456,3932997.75,-774.9875,0.3727
84.89,2053.7,522.1642,16.2998,3933053.75,-774.9875,0.3727
85.04,2053.7004,522.1567,16.9423,3933111,-774.9875,0.3727
85.19,2053.8,522.1492,17.8779,3933358.25,-774.9875,0.3727
85.34,2053.8,522.1418,18.8086,3933414.5,-774.9875,0.3726
85.49,2053.8,522.1347,17.239,3933467.75,-774.9875,0.3726
85.64,2053.8,522.1273,17.1957,3933523.75,-774.9875,0.3726
85.79,2053.8,522.1198,18.623,3933580.25,-774.9875,0.3726
85.94,2053.8,522.1124,20.957,3933636,-768.035,0.3726
86.09,2053.8,522.105,18.6562,3933691.75,-610.1291,0.3726
86.24,2053.8,522.0976,17.0541,3933747.5,-594.4465,0.3726
86.39,2053.8877,522.0901,15.2959,3933971.25,-594.4465,0.3726
86.54,2053.8999,522.0829,16.379,3934049,-594.4465,0.3726
86.69,2053.8999,522.0756,17.1019,3934104.25,-594.4465,0.3726
86.84,2053.8999,522.0682,17.9502,3934159.75,-594.4465,0.3726
86.99,2053.8999,522.0608,18.5988,3934215.75,-594.4465,0.3726
87.14,2053.8999,522.0533,17.0194,3934272,-594.4465,0.3725
87.29,2053.8999,522.0459,14.2196,3934328.25,-594.4465,0.3725
